DistrictId,District,Canton,Date,Week,Year,Population,TotalConfCases,NewConfCases,TotalDeaths,NewDeaths,SourceUrl
1101,"Gäu",SO,2020-09-28,,,21605,75,2,,,https://corona.so.ch/spezialseiten/die-covid-19-kennzahlen-im-ueberblick/
1101,"Gäu",SO,2020-09-29,,,21605,75,0,,,https://corona.so.ch/spezialseiten/die-covid-19-kennzahlen-im-ueberblick/
1101,"Gäu",SO,2020-09-30,,,21605,77,2,,,https://corona.so.ch/spezialseiten/die-covid-19-kennzahlen-im-ueberblick/
1101,"Gäu",SO,2020-10-01,,,21605,78,1,,,https://corona.so.ch/spezialseiten/die-covid-19-kennzahlen-im-ueberblick/
1101,"Gäu",SO,2020-10-06,,,21724,77,0,,,https://corona.so.ch/bevoelkerung/daten/fallzahlen-nach-gemeinden/
1101,"Gäu",SO,2020-10-07,,,21724,78,1,,,https://corona.so.ch/bevoelkerung/daten/fallzahlen-nach-gemeinden/
1101,"Gäu",SO,2020-10-08,,,21724,80,2,,,https://corona.so.ch/bevoelkerung/daten/fallzahlen-nach-gemeinden/
1101,"Gäu",SO,2020-10-09,,,21724,80,2,,,https://corona.so.ch/bevoelkerung/daten/fallzahlen-nach-gemeinden/
1101,"Gäu",SO,2020-10-12,,,21724,84,4,,,https://corona.so.ch/bevoelkerung/daten/fallzahlen-nach-gemeinden/
1101,"Gäu",SO,2020-10-13,,,21724,86,2,,,https://corona.so.ch/bevoelkerung/daten/fallzahlen-nach-gemeinden/
1101,"Gäu",SO,2020-10-14,,,21724,88,2,,,https://corona.so.ch/bevoelkerung/daten/fallzahlen-nach-gemeinden/
1101,"Gäu",SO,2020-10-15,,,21724,95,7,,,https://corona.so.ch/bevoelkerung/daten/fallzahlen-nach-gemeinden/
1101,"Gäu",SO,2020-10-16,,,21724,97,2,,,https://corona.so.ch/bevoelkerung/daten/fallzahlen-nach-gemeinden/
1101,"Gäu",SO,2020-10-19,,,21724,105,8,,,https://corona.so.ch/bevoelkerung/daten/fallzahlen-nach-gemeinden/
1101,"Gäu",SO,2020-10-20,,,21724,107,2,,,https://corona.so.ch/bevoelkerung/daten/fallzahlen-nach-gemeinden/
1101,"Gäu",SO,2020-10-21,,,21724,119,6,,,https://corona.so.ch/bevoelkerung/daten/fallzahlen-nach-gemeinden/
1101,"Gäu",SO,2020-10-22,,,21724,119,6,,,https://corona.so.ch/bevoelkerung/daten/fallzahlen-nach-gemeinden/
1101,"Gäu",SO,2020-10-23,,,21724,125,6,,,https://corona.so.ch/bevoelkerung/daten/fallzahlen-nach-gemeinden/
