DistrictId,District,Canton,Date,Week,Year,Population,TotalConfCases,NewConfCases,TotalDeaths,NewDeaths,SourceUrl
501,Einsiedeln,SZ,2020-10-20,,,16027,86,,,,https://www.sz.ch/public/upload/assets/49216/Corona_Fallzahlen_20_10_2020.pdf
501,Einsiedeln,SZ,2020-10-21,,,16027,100,,,,https://www.sz.ch/public/upload/assets/49233/Corona_Fallzahlen_21_10_2020.pdf
501,Einsiedeln,SZ,2020-10-22,,,16027,108,,,,https://www.sz.ch/public/upload/assets/49292/Corona_Fallzahlen_22_10_2020.pdf
502,Gersau,SZ,2020-10-20,,,2314,15,,,,https://www.sz.ch/public/upload/assets/49216/Corona_Fallzahlen_20_10_2020.pdf
502,Gersau,SZ,2020-10-21,,,2314,16,,,,https://www.sz.ch/public/upload/assets/49233/Corona_Fallzahlen_21_10_2020.pdf
502,Gersau,SZ,2020-10-22,,,2314,20,,,,https://www.sz.ch/public/upload/assets/49292/Corona_Fallzahlen_22_10_2020.pdf
503,"Höfe",SZ,2020-10-20,,,29123,76,,,,https://www.sz.ch/public/upload/assets/49216/Corona_Fallzahlen_20_10_2020.pdf
503,"Höfe",SZ,2020-10-21,,,29123,96,,,,https://www.sz.ch/public/upload/assets/49233/Corona_Fallzahlen_21_10_2020.pdf
503,"Höfe",SZ,2020-10-22,,,29123,95,,,,https://www.sz.ch/public/upload/assets/49292/Corona_Fallzahlen_22_10_2020.pdf
504,"Küssnacht",SZ,2020-10-20,,,13270,61,,,,https://www.sz.ch/public/upload/assets/49216/Corona_Fallzahlen_20_10_2020.pdf
504,"Küssnacht",SZ,2020-10-21,,,13270,73,,,,https://www.sz.ch/public/upload/assets/49233/Corona_Fallzahlen_21_10_2020.pdf
504,"Küssnacht",SZ,2020-10-22,,,13270,71,,,,https://www.sz.ch/public/upload/assets/49292/Corona_Fallzahlen_22_10_2020.pdf
505,March,SZ,2020-10-20,,,43528,128,,,,https://www.sz.ch/public/upload/assets/49216/Corona_Fallzahlen_20_10_2020.pdf
505,March,SZ,2020-10-21,,,43528,156,,,,https://www.sz.ch/public/upload/assets/49233/Corona_Fallzahlen_21_10_2020.pdf
505,March,SZ,2020-10-22,,,43528,158,,,,https://www.sz.ch/public/upload/assets/49292/Corona_Fallzahlen_22_10_2020.pdf
506,Schwyz,SZ,2020-10-20,,,55390,489,,,,https://www.sz.ch/public/upload/assets/49216/Corona_Fallzahlen_20_10_2020.pdf
506,Schwyz,SZ,2020-10-21,,,55390,565,,,,https://www.sz.ch/public/upload/assets/49233/Corona_Fallzahlen_21_10_2020.pdf
506,Schwyz,SZ,2020-10-22,,,55390,572,,,,https://www.sz.ch/public/upload/assets/49292/Corona_Fallzahlen_22_10_2020.pdf
