date,time,abbreviation_canton_and_fl,ncumul_tested,ncumul_conf,new_hosp,current_hosp,current_icu,current_vent,ncumul_released,ncumul_deceased,source,current_isolated,current_quarantined,current_quarantined_riskareatravel
2020-02-27,,BE,,1,,,,,,0,https://covid-kennzahlen.apps.be.ch/,,,
2020-02-28,,BE,,1,,,,,,,https://www.be.ch/portal/de/index/mediencenter/medienmitteilungen/suche.archiv.meldungNeu.html/portal/de/meldungen/mm/2020/02/20200229_0936_corona.html,,,
2020-02-29,,BE,,2,,,,,,0,https://covid-kennzahlen.apps.be.ch/,,,
2020-03-01,,BE,,2,,,,,,,https://www.be.ch/portal/de/index/mediencenter/medienmitteilungen/suche.meldungNeu.html/portal/de/meldungen/mm/2020/03/20200302_1522_zweiter_bestaetigtercorona-fallinbiel,,,
2020-03-02,,BE,,6,,,,,,0,https://covid-kennzahlen.apps.be.ch/,,,
2020-03-03,,BE,,7,,,,,,0,https://covid-kennzahlen.apps.be.ch/,,,
2020-03-04,,BE,,14,,,,,,0,https://covid-kennzahlen.apps.be.ch/,,,
2020-03-05,,BE,,19,,,,,,0,https://covid-kennzahlen.apps.be.ch/,,,
2020-03-06,,BE,,28,,,,,,0,https://covid-kennzahlen.apps.be.ch/,,,
2020-03-08,,BE,,30,,,,,,0,https://covid-kennzahlen.apps.be.ch/,,,
2020-03-09,,BE,,34,,,,,,0,https://covid-kennzahlen.apps.be.ch/,,,
2020-03-10,,BE,,41,,,,,,0,https://covid-kennzahlen.apps.be.ch/,,,
2020-03-11,,BE,,57,,,,,,0,https://covid-kennzahlen.apps.be.ch/,,,
2020-03-12,,BE,,80,,,,,,0,https://covid-kennzahlen.apps.be.ch/,,,
2020-03-13,,BE,,90,,,,,,0,https://covid-kennzahlen.apps.be.ch/,,,
2020-03-14,,BE,,110,,,,,,0,https://covid-kennzahlen.apps.be.ch/,,,
2020-03-15,,BE,,130,,,,,,0,https://covid-kennzahlen.apps.be.ch/,,,
2020-03-16,,BE,,198,,,,,,1,https://covid-kennzahlen.apps.be.ch/,,,
2020-03-17,,BE,,252,,,,,,2,https://covid-kennzahlen.apps.be.ch/,,,
2020-03-18,,BE,,314,,,,,,2,https://covid-kennzahlen.apps.be.ch/,,,
2020-03-19,,BE,,366,,,,,,2,https://covid-kennzahlen.apps.be.ch/,,,
2020-03-20,,BE,,427,,,,,,3,https://covid-kennzahlen.apps.be.ch/,,,
2020-03-21,,BE,,469,,,,,,5,https://covid-kennzahlen.apps.be.ch/,,,
2020-03-22,,BE,,504,,,,,,6,https://covid-kennzahlen.apps.be.ch/,,,
2020-03-23,,BE,,574,,,,,,6,https://covid-kennzahlen.apps.be.ch/,,,
2020-03-24,,BE,,628,,,,,,6,https://covid-kennzahlen.apps.be.ch/,,,
2020-03-25,,BE,,686,,,,,,7,https://covid-kennzahlen.apps.be.ch/,,,
2020-03-26,,BE,,740,,,,,,9,https://covid-kennzahlen.apps.be.ch/,,,
2020-03-27,,BE,,818,,,,,,9,https://covid-kennzahlen.apps.be.ch/,,,
2020-03-28,,BE,,842,,,,,,13,https://covid-kennzahlen.apps.be.ch/,,,
2020-03-29,,BE,,862,,,,,,15,https://covid-kennzahlen.apps.be.ch/,,,
2020-03-30,07:00,BE,,935,,112,21,17,,20,https://covid-kennzahlen.apps.be.ch/,,,
2020-03-31,08:00,BE,,1008,,111,23,18,,21,https://covid-kennzahlen.apps.be.ch/,,,
2020-04-01,08:00,BE,,1065,,115,26,21,,24,https://covid-kennzahlen.apps.be.ch/,,,
2020-04-02,08:00,BE,,1107,,104,24,20,,26,https://covid-kennzahlen.apps.be.ch/,,,
2020-04-03,08:00,BE,,1170,,109,30,26,,26,https://covid-kennzahlen.apps.be.ch/,,,
2020-04-04,08:00,BE,,1210,,113,35,28,,29,https://covid-kennzahlen.apps.be.ch/,,,
2020-04-05,08:00,BE,,1224,,110,30,25,,32,https://covid-kennzahlen.apps.be.ch/,,,
2020-04-06,08:00,BE,,1295,,117,35,30,,32,https://covid-kennzahlen.apps.be.ch/,,,
2020-04-07,08:00,BE,,1347,,122,34,26,,36,https://covid-kennzahlen.apps.be.ch/,,,
2020-04-08,08:00,BE,,1406,,127,35,27,,41,https://covid-kennzahlen.apps.be.ch/,,,
2020-04-09,08:00,BE,,1427,,117,36,27,,45,https://covid-kennzahlen.apps.be.ch/,,,
2020-04-10,08:00,BE,,1444,,107,33,25,,51,https://covid-kennzahlen.apps.be.ch/,,,
2020-04-11,08:00,BE,,1464,,99,33,24,,54,https://covid-kennzahlen.apps.be.ch/,,,
2020-04-12,08:00,BE,,1475,,95,33,22,,57,https://covid-kennzahlen.apps.be.ch/,,,
2020-04-13,08:00,BE,,1492,,92,32,21,,63,https://covid-kennzahlen.apps.be.ch/,,,
2020-04-14,08:00,BE,,1528,,85,31,21,,65,https://covid-kennzahlen.apps.be.ch/,,,
2020-04-15,08:00,BE,,1558,,82,30,18,,67,https://covid-kennzahlen.apps.be.ch/,,,
2020-04-16,08:00,BE,,1580,,70,26,12,,68,https://covid-kennzahlen.apps.be.ch/,,,
2020-04-17,08:00,BE,,1598,,71,22,12,,69,https://covid-kennzahlen.apps.be.ch/,6115,2961,
2020-04-18,08:00,BE,,1606,,71,22,12,,73,https://covid-kennzahlen.apps.be.ch/,,,
2020-04-19,08:00,BE,,1616,,71,19,11,,73,https://covid-kennzahlen.apps.be.ch/,,,
2020-04-20,08:00,BE,,1649,,66,17,11,,77,https://covid-kennzahlen.apps.be.ch/,,,
2020-04-21,08:00,BE,,1668,,67,14,10,,79,https://covid-kennzahlen.apps.be.ch/,,,
2020-04-22,08:00,BE,,1678,,66,11,7,,81,https://covid-kennzahlen.apps.be.ch/,,,
2020-04-23,08:00,BE,,1699,,60,11,8,,83,https://covid-kennzahlen.apps.be.ch/,,,
2020-04-24,08:00,BE,,1709,,61,11,10,,84,https://covid-kennzahlen.apps.be.ch/,,,
2020-04-25,08:00,BE,,1713,,61,11,10,,85,https://covid-kennzahlen.apps.be.ch/,,,
2020-04-26,08:00,BE,,1722,,54,10,9,,85,https://covid-kennzahlen.apps.be.ch/,,,
2020-04-27,08:00,BE,,1736,,47,7,7,,85,https://covid-kennzahlen.apps.be.ch/,,,
2020-04-28,08:00,BE,,1748,,44,10,10,,87,https://covid-kennzahlen.apps.be.ch/,,,
2020-04-29,08:00,BE,,1761,,39,9,9,,87,https://covid-kennzahlen.apps.be.ch/,,,
2020-04-30,08:00,BE,,1771,,40,9,7,,88,https://covid-kennzahlen.apps.be.ch/,,,
2020-05-01,08:00,BE,,1781,,44,9,6,,88,https://covid-kennzahlen.apps.be.ch/,,,
2020-05-02,08:00,BE,,1787,,41,10,7,,88,https://covid-kennzahlen.apps.be.ch/,,,
2020-05-03,08:00,BE,,1789,,35,8,7,,88,https://covid-kennzahlen.apps.be.ch/,,,
2020-05-04,08:00,BE,,1795,,38,7,5,,88,https://covid-kennzahlen.apps.be.ch/,,,
2020-05-05,08:00,BE,,1799,,34,6,4,,88,https://covid-kennzahlen.apps.be.ch/,,,
2020-05-06,08:00,BE,,1807,,37,8,6,,88,https://covid-kennzahlen.apps.be.ch/,,,
2020-05-07,08:00,BE,,1814,,39,8,6,,89,https://covid-kennzahlen.apps.be.ch/,,,
2020-05-08,08:00,BE,,1820,,36,7,6,,89,https://covid-kennzahlen.apps.be.ch/,,,
2020-05-09,08:00,BE,,1825,,36,7,6,,89,https://covid-kennzahlen.apps.be.ch/,,,
2020-05-10,08:00,BE,,1827,,36,7,6,,90,https://covid-kennzahlen.apps.be.ch/,,,
2020-05-11,08:00,BE,,1829,,35,6,5,,90,https://covid-kennzahlen.apps.be.ch/,,,
2020-05-12,08:00,BE,,1832,,34,7,6,,90,https://covid-kennzahlen.apps.be.ch/,,,
2020-05-13,08:00,BE,,1837,,29,5,5,,90,https://covid-kennzahlen.apps.be.ch/,,,
2020-05-14,08:00,BE,,1843,,27,5,4,,90,https://covid-kennzahlen.apps.be.ch/,,,
2020-05-15,08:00,BE,,1846,,34,4,2,,90,https://covid-kennzahlen.apps.be.ch/,,,
2020-05-16,08:00,BE,,,,34,3,2,,,https://covid-kennzahlen.apps.be.ch/,,,
2020-05-17,08:00,BE,,,,29,2,2,,,https://covid-kennzahlen.apps.be.ch/,,,
2020-05-18,08:00,BE,,1849,,25,2,2,,90,https://covid-kennzahlen.apps.be.ch/,,,
2020-05-19,08:00,BE,,1853,,24,3,3,,91,https://covid-kennzahlen.apps.be.ch/,,,
2020-05-20,08:00,BE,,1856,,24,3,3,,91,https://covid-kennzahlen.apps.be.ch/,,,
2020-05-21,08:00,BE,,1859,,20,3,3,,91,https://covid-kennzahlen.apps.be.ch/,,,
2020-05-22,08:00,BE,,1862,,20,3,3,,91,https://covid-kennzahlen.apps.be.ch/,,,
2020-05-23,08:00,BE,,,,20,3,3,,,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,,,
2020-05-24,08:00,BE,,1863,,18,2,2,,91,https://covid-kennzahlen.apps.be.ch/,,,
2020-05-25,08:00,BE,,1864,,18,2,2,,91,https://covid-kennzahlen.apps.be.ch/,,,
2020-05-26,08:00,BE,,1864,,11,2,1,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-05-27,08:00,BE,,1866,,11,2,1,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-05-28,08:00,BE,,1868,,9,1,1,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-05-29,08:00,BE,,1870,,9,0,1,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-05-30,08:00,BE,,,,9,1,1,,,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,,,
2020-05-31,08:00,BE,,1872,,9,1,1,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-06-01,08:00,BE,,,,6,0,0,,,https://covid-kennzahlen.apps.be.ch/,,,
2020-06-02,08:00,BE,,1874,,6,0,0,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-06-03,08:00,BE,,1875,,6,0,0,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-06-04,08:00,BE,,1878,,5,0,0,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-06-07,08:00,BE,,1879,,3,0,0,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-06-08,08:00,BE,,1884,,3,0,0,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-06-09,08:00,BE,,,,4,0,0,,,https://covid-kennzahlen.apps.be.ch/,,,
2020-06-10,08:00,BE,,1890,,4,0,0,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-06-11,08:00,BE,,1892,,1,0,0,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-06-12,08:00,BE,,1893,,1,0,0,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-06-13,08:00,BE,,1894,,1,0,0,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-06-14,08:00,BE,,,,1,0,0,,,https://covid-kennzahlen.apps.be.ch/,,,
2020-06-15,08:00,BE,,1896,,1,0,0,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-06-16,08:00,BE,,,,3,0,0,,,https://covid-kennzahlen.apps.be.ch/,,,
2020-06-17,08:00,BE,,,,3,0,0,,,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,,,
2020-06-18,08:00,BE,,,,3,0,0,,,https://covid-kennzahlen.apps.be.ch/,,,
2020-06-19,08:00,BE,,1897,,3,0,0,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-06-20,08:00,BE,,1901,,3,0,0,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-06-21,08:00,BE,,1903,,2,0,0,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-06-22,08:00,BE,,1906,,2,0,0,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-06-23,08:00,BE,,1909,,1,0,0,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-06-24,08:00,BE,,,,1,0,0,,,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,,,
2020-06-25,08:00,BE,,,,1,0,0,,,https://covid-kennzahlen.apps.be.ch/,,,
2020-06-26,08:00,BE,,1914,,1,0,0,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-06-27,08:00,BE,,1915,,1,0,0,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-06-28,08:00,BE,,1916,,2,0,0,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-06-29,08:00,BE,,1921,,2,0,0,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-06-30,08:00,BE,,1928,,7,0,0,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-07-01,08:00,BE,,1932,,7,0,0,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-07-02,08:00,BE,,1935,,4,1,1,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-07-03,08:00,BE,,1942,,4,1,1,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-07-04,08:00,BE,,1943,,4,1,1,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-07-05,08:00,BE,,1945,,3,1,1,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-07-06,08:00,BE,,1950,,3,1,1,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-07-07,08:00,BE,,1956,,2,1,1,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-07-08,08:00,BE,,1960,,2,1,1,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-07-09,08:00,BE,,1969,,5,1,0,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-07-10,08:00,BE,,1977,,5,1,1,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-07-11,08:00,BE,,1983,,,,,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-07-12,08:00,BE,,1984,,4,2,0,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-07-13,08:00,BE,,1995,,4,2,0,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-07-14,08:00,BE,,2004,,3,2,0,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-07-15,08:00,BE,,2012,,3,2,0,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-07-16,08:00,BE,,2021,,4,3,0,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-07-17,08:00,BE,,2032,,4,3,0,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-07-18,08:00,BE,,2035,,,,,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-07-19,08:00,BE,,2038,,7,4,0,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-07-20,08:00,BE,,2045,,7,4,0,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-07-21,08:00,BE,,2046,,7,3,0,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-07-22,08:00,BE,,2049,,7,3,0,,92,https://covid-kennzahlen.apps.be.ch/,,,
2020-07-23,08:00,BE,,2051,,,,,,92,https://covid-kennzahlen.apps.be.ch/,,,
