date,time,abbreviation_canton_and_fl,ncumul_tested,ncumul_conf,new_hosp,current_hosp,current_icu,current_vent,ncumul_released,ncumul_deceased,source,current_isolated,current_quarantined
2020-03-05,,TG,,1,,,,,,0,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552,,
2020-03-06,,TG,,1,,,,,,0,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552,,
2020-03-07,,TG,,1,,,,,,0,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552,,
2020-03-08,,TG,,1,,,,,,0,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552,,
2020-03-09,,TG,,2,,,,,,0,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552,,
2020-03-10,,TG,,5,,,,,,0,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552,,
2020-03-11,,TG,,5,,,,,,0,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552,,
2020-03-12,,TG,,7,,,,,,0,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552,,
2020-03-13,,TG,,8,,,,,,0,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552,,
2020-03-14,,TG,,11,,,,,,0,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552,,
2020-03-15,,TG,,13,,,,,,0,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552,,
2020-03-16,,TG,246,20,,,,,,1,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552,,
2020-03-17,,TG,276,27,,,,,,2,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552,,
2020-03-18,,TG,,42,,,,,,2,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552,,
2020-03-19,,TG,,49,,,,,,3,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552,,
2020-03-20,,TG,,57,,,,,,3,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552,,
2020-03-21,,TG,,71,,,,,,3,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552,,
2020-03-22,,TG,,78,,,,,,3,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552,,
2020-03-23,,TG,,84,,,,,,3,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552,,
