date,time,abbreviation_canton_and_fl,ncumul_tested,ncumul_conf,new_hosp,current_hosp,current_icu,current_vent,ncumul_released,ncumul_deceased,source,current_isolated,current_quarantined,current_quarantined_riskareatravel,current_quarantined_total
2020-03-11,,NW,,4,,2,,,,,http://www.nw.ch/coronastatistik,,,,
2020-03-12,,NW,,5,,5,,,,,http://www.nw.ch/coronastatistik,,,,
2020-03-13,,NW,,5,,6,,,,,http://www.nw.ch/coronastatistik,,,,
2020-03-14,,NW,,5,,6,,,,,http://www.nw.ch/coronastatistik,,,,
2020-03-15,,NW,,8,,6,,,,,http://www.nw.ch/coronastatistik,,,,
2020-03-16,,NW,,10,,7,,,,,http://www.nw.ch/coronastatistik,,,,
2020-03-17,,NW,,12,,6,,,,,http://www.nw.ch/coronastatistik,,,,
2020-03-18,,NW,,18,,6,,,,,http://www.nw.ch/coronastatistik,,,,
2020-03-19,,NW,,25,,5,,,,,http://www.nw.ch/coronastatistik,,,,
2020-03-20,,NW,,28,,5,,,,,http://www.nw.ch/coronastatistik,,,,
2020-03-21,,NW,,33,,5,,,,,http://www.nw.ch/coronastatistik,,,,
2020-03-22,,NW,,36,,5,,,,,http://www.nw.ch/coronastatistik,,,,
2020-03-23,,NW,,39,,5,,,,,http://www.nw.ch/coronastatistik,,,,
2020-03-24,,NW,,42,,4,,,,,http://www.nw.ch/coronastatistik,,,,
2020-03-25,,NW,,44,,3,,,,,http://www.nw.ch/coronastatistik,,,,
2020-03-26,,NW,,48,,2,,,,,http://www.nw.ch/coronastatistik,,,,
2020-03-27,,NW,,54,,3,,,,,http://www.nw.ch/coronastatistik,,,,
2020-03-28,,NW,,55,,4,,,,,http://www.nw.ch/coronastatistik,,,,
2020-03-29,,NW,,59,,4,,,,,http://www.nw.ch/coronastatistik,,,,
2020-03-30,,NW,,63,,8,,,,,http://www.nw.ch/coronastatistik,,,,
2020-03-31,,NW,,70,,7,1,,,,http://www.nw.ch/coronastatistik,,,,
2020-04-01,,NW,,70,,9,2,,,,http://www.nw.ch/coronastatistik,,,,
2020-04-02,,NW,,76,,9,2,,,,http://www.nw.ch/coronastatistik,,,,
