date,time,abbreviation_canton_and_fl,ncumul_tested,ncumul_conf,new_hosp,current_hosp,current_icu,current_vent,ncumul_released,ncumul_deceased,source,current_isolated,current_quarantined,current_quarantined_riskareatravel
2020-02-27,,FL,3,,,,,,,,https://www.regierung.li/media/attachments/83-verdachtsfaelle-negativ-getestet.pdf?t=637202562374055719,,,
2020-03-01,00:00,FL,,0,,,,,0,0,https://www.llv.li/files/ag/aktuelle-fallzahlen.xlsx,,,
2020-03-02,00:00,FL,,0,,,,,0,0,https://www.llv.li/files/ag/aktuelle-fallzahlen.xlsx,,,
2020-03-03,00:00,FL,14,1,,,,,0,0,https://www.llv.li/files/ag/aktuelle-fallzahlen.xlsx,,,
2020-03-04,00:00,FL,16,1,,,,,0,0,https://www.llv.li/files/ag/aktuelle-fallzahlen.xlsx,,,
2020-03-05,00:00,FL,18,1,,,,,0,0,https://www.llv.li/files/ag/aktuelle-fallzahlen.xlsx,,,
2020-03-06,00:00,FL,22,1,,,,,0,0,https://www.llv.li/files/ag/aktuelle-fallzahlen.xlsx,,,
2020-03-07,00:00,FL,,1,,,,,0,0,https://www.llv.li/files/ag/aktuelle-fallzahlen.xlsx,,,
2020-03-08,00:00,FL,,1,,,,,0,0,https://www.llv.li/files/ag/aktuelle-fallzahlen.xlsx,,,
2020-03-09,00:00,FL,24,1,,,,,0,0,https://www.llv.li/files/ag/aktuelle-fallzahlen.xlsx,,,
2020-03-10,00:00,FL,37,1,,,,,0,0,https://www.llv.li/files/ag/aktuelle-fallzahlen.xlsx,,,
2020-03-11,00:00,FL,50,3,,,,,0,0,https://www.llv.li/files/ag/aktuelle-fallzahlen.xlsx,,,
2020-03-12,00:00,FL,57,4,,,,,1,0,https://www.llv.li/files/ag/aktuelle-fallzahlen.xlsx,,,
2020-03-13,00:00,FL,,5,,,,,1,0,https://www.llv.li/files/ag/aktuelle-fallzahlen.xlsx,,,
2020-03-14,00:00,FL,99,7,,,,,1,0,https://www.llv.li/files/ag/aktuelle-fallzahlen.xlsx,,,
2020-03-15,00:00,FL,,7,,,,,1,0,https://www.llv.li/files/ag/aktuelle-fallzahlen.xlsx,,,
2020-03-16,00:00,FL,,12,,,,,1,0,https://www.llv.li/files/ag/aktuelle-fallzahlen.xlsx,,,
2020-03-17,00:00,FL,,19,,,,,1,0,https://www.llv.li/files/ag/aktuelle-fallzahlen.xlsx,,,
2020-03-18,00:00,FL,,28,,,,,1,0,https://www.llv.li/files/ag/aktuelle-fallzahlen.xlsx,,,
2020-03-19,00:00,FL,,28,,,,,1,0,https://www.llv.li/files/ag/aktuelle-fallzahlen.xlsx,,,
2020-03-20,00:00,FL,,37,,,,,1,0,https://www.llv.li/files/ag/aktuelle-fallzahlen.xlsx,,,
2020-03-21,00:00,FL,,44,,,,,4,0,https://www.llv.li/files/ag/aktuelle-fallzahlen.xlsx,,,
2020-03-22,00:00,FL,,46,,,,,4,0,https://www.llv.li/files/ag/aktuelle-fallzahlen.xlsx,,,
