date,time,abbreviation_canton_and_fl,ncumul_tested,ncumul_conf,new_hosp,current_hosp,current_icu,current_vent,ncumul_released,ncumul_deceased,source,current_isolated,current_quarantined,current_quarantined_riskareatravel,current_quarantined_total
2020-02-28,,VS,,1,6,6,0,0,0,0,https://www.vs.ch/de/web/coronavirus,,,,
2020-02-29,,VS,,1,0,6,0,0,0,0,https://www.vs.ch/de/web/coronavirus,,,,
2020-03-01,,VS,,2,1,7,0,0,0,0,https://www.vs.ch/de/web/coronavirus,,,,
2020-03-02,,VS,,4,3,10,0,0,0,0,https://www.vs.ch/de/web/coronavirus,,,,
2020-03-03,,VS,,4,2,12,0,0,0,0,https://www.vs.ch/de/web/coronavirus,,,,
2020-03-04,,VS,,5,1,13,0,0,0,0,https://www.vs.ch/de/web/coronavirus,,,,
2020-03-05,,VS,,6,0,11,0,0,2,0,https://www.vs.ch/de/web/coronavirus,,,,
2020-03-06,,VS,,6,1,12,0,0,2,0,https://www.vs.ch/de/web/coronavirus,,,,
2020-03-07,,VS,,7,0,12,0,0,2,0,https://www.vs.ch/de/web/coronavirus,,,,
2020-03-08,,VS,,14,4,16,1,1,2,0,https://www.vs.ch/de/web/coronavirus,,,,
2020-03-09,,VS,,18,1,17,1,1,2,0,https://www.vs.ch/de/web/coronavirus,,,,
2020-03-10,,VS,,23,3,20,1,1,2,0,https://www.vs.ch/de/web/coronavirus,,,,
2020-03-11,,VS,,30,2,21,1,1,3,0,https://www.vs.ch/de/web/coronavirus,,,,
2020-03-12,,VS,,55,7,28,1,1,3,0,https://www.vs.ch/de/web/coronavirus,,,,
2020-03-13,,VS,,71,4,30,1,1,5,1,https://www.vs.ch/de/web/coronavirus,,,,
2020-03-14,,VS,,92,5,34,1,1,6,1,https://www.vs.ch/de/web/coronavirus,,,,
2020-03-15,,VS,,103,3,36,1,1,6,2,https://www.vs.ch/de/web/coronavirus,,,,
2020-03-16,,VS,,162,9,42,2,1,8,3,https://www.vs.ch/de/web/coronavirus,,,,
2020-03-17,,VS,,215,8,47,2,2,11,3,https://www.vs.ch/de/web/coronavirus,,,,
2020-03-18,,VS,,297,12,59,2,2,11,4,https://www.vs.ch/de/web/coronavirus,,,,
2020-03-19,,VS,,335,8,64,5,5,12,6,https://www.vs.ch/de/web/coronavirus,,,,
2020-03-20,,VS,,430,12,73,6,5,15,7,https://www.vs.ch/de/web/coronavirus,,,,
2020-03-21,,VS,,481,15,83,8,6,17,10,https://www.vs.ch/de/web/coronavirus,,,,
2020-03-22,,VS,,518,11,92,11,7,19,11,https://www.vs.ch/de/web/coronavirus,,,,
2020-03-23,,VS,,614,18,104,12,9,24,13,https://www.vs.ch/de/web/coronavirus,,,,
2020-03-24,,VS,,715,16,118,13,12,25,14,https://www.vs.ch/de/web/coronavirus,,,,
2020-03-25,,VS,,784,12,119,15,14,35,15,https://www.vs.ch/de/web/coronavirus,,,,
2020-03-26,,VS,,860,18,129,19,17,41,17,https://www.vs.ch/de/web/coronavirus,,,,
2020-03-27,,VS,,952,20,138,20,16,50,21,https://www.vs.ch/de/web/coronavirus,,,,
2020-03-28,,VS,,998,10,143,21,19,53,25,https://www.vs.ch/de/web/coronavirus,,,,
2020-03-29,,VS,,1032,13,153,22,21,54,31,https://www.vs.ch/de/web/coronavirus,,,,
2020-03-30,,VS,,1117,20,154,25,23,71,35,https://www.vs.ch/de/web/coronavirus,,,,
2020-03-31,,VS,,1185,11,153,24,23,81,37,https://www.vs.ch/de/web/coronavirus,,,,
2020-04-01,,VS,,1254,11,147,26,25,96,40,https://www.vs.ch/de/web/coronavirus,,,,
2020-04-02,,VS,,1301,12,147,28,24,104,47,https://www.vs.ch/de/web/coronavirus,,,,
2020-04-03,,VS,,1351,6,147,26,23,109,51,https://www.vs.ch/de/web/coronavirus,,,,
2020-04-04,,VS,,1384,6,150,28,23,112,53,https://www.vs.ch/de/web/coronavirus,,,,
2020-04-05,,VS,,1399,4,147,26,23,115,57,https://www.vs.ch/de/web/coronavirus,,,,
2020-04-06,,VS,,1467,7,134,26,22,134,60,https://www.vs.ch/de/web/coronavirus,,,,
2020-04-07,,VS,,1505,7,130,25,20,143,68,https://www.vs.ch/de/web/coronavirus,,,,
2020-04-08,,VS,,1542,5,123,26,20,152,71,https://www.vs.ch/de/web/coronavirus,,,,
2020-04-09,,VS,,1569,4,118,24,19,160,77,https://www.vs.ch/de/web/coronavirus,,,,
2020-04-10,,VS,,1601,5,116,24,18,166,83,https://www.vs.ch/de/web/coronavirus,,,,
2020-04-11,,VS,,1625,2,113,20,15,169,85,https://www.vs.ch/de/web/coronavirus,,,,
2020-04-12,,VS,,1638,3,111,22,14,173,91,https://www.vs.ch/de/web/coronavirus,,,,
2020-04-13,,VS,,1652,1,107,21,12,176,93,https://www.vs.ch/de/web/coronavirus,,,,
2020-04-14,,VS,,1681,4,100,20,11,187,94,https://www.vs.ch/de/web/coronavirus,,,,
2020-04-15,,VS,,1694,2,94,20,12,195,94,https://www.vs.ch/de/web/coronavirus,,,,
2020-04-16,,VS,,1711,1,92,17,12,198,95,https://www.vs.ch/de/web/coronavirus,,,,
2020-04-17,,VS,,1728,1,85,16,10,204,99,https://www.vs.ch/de/web/coronavirus,,,,
2020-04-18,,VS,,1737,1,84,18,10,204,104,https://www.vs.ch/de/web/coronavirus,,,,
2020-04-19,,VS,,1746,0,82,16,9,205,107,https://www.vs.ch/de/web/coronavirus,,,,
2020-04-20,,VS,,1765,3,78,15,9,211,110,https://www.vs.ch/de/web/coronavirus,,,,
2020-04-21,,VS,,1773,2,74,14,10,213,115,https://www.vs.ch/de/web/coronavirus,,,,
2020-04-22,,VS,,1780,4,75,13,10,216,118,https://www.vs.ch/de/web/coronavirus,,,,
2020-04-23,,VS,,1795,0,71,13,9,219,123,https://www.vs.ch/de/web/coronavirus,,,,
2020-04-24,,VS,,1804,2,68,14,9,223,127,https://www.vs.ch/de/web/coronavirus,8,6,,
2020-04-25,,VS,,1809,4,70,14,9,224,129,https://www.vs.ch/de/web/coronavirus,14,16,,
2020-04-26,,VS,,1811,2,72,15,8,224,131,https://www.vs.ch/de/web/coronavirus,16,22,,
2020-04-27,,VS,,1829,0,63,14,9,232,132,https://www.vs.ch/de/web/coronavirus,29,30,,
2020-04-28,,VS,,1839,1,59,13,8,236,135,https://www.vs.ch/de/web/coronavirus,39,34,,
2020-04-29,,VS,,1846,1,58,11,8,238,136,https://www.vs.ch/de/web/coronavirus,52,51,,
2020-04-30,,VS,,1852,1,58,10,8,239,138,https://www.vs.ch/de/web/coronavirus,58,60,,
2020-05-01,,VS,,1856,0,56,10,8,241,138,https://www.vs.ch/de/web/coronavirus,63,68,,
2020-05-02,,VS,,1858,1,56,10,8,241,140,https://www.vs.ch/de/web/coronavirus,66,75,,
2020-05-03,,VS,,1860,2,57,10,8,241,142,https://www.vs.ch/de/web/coronavirus,67,73,,
2020-05-04,,VS,,1868,0,52,10,7,246,142,https://www.vs.ch/de/web/coronavirus,73,74,,
2020-05-05,,VS,,1870,0,48,8,6,248,146,https://www.vs.ch/de/web/coronavirus,72,63,,
2020-05-06,,VS,,1874,0,45,8,5,251,146,https://www.vs.ch/de/web/coronavirus,70,59,,
2020-05-07,,VS,,1875,0,40,8,5,256,146,https://www.vs.ch/de/web/coronavirus,67,53,,
2020-05-08,,VS,,1879,1,38,9,5,258,148,https://www.vs.ch/de/web/coronavirus,65,58,,
2020-05-09,,VS,,1880,0,37,10,7,259,148,https://www.vs.ch/de/web/coronavirus,55,40,,
2020-05-10,,VS,,1881,1,38,10,7,259,148,https://www.vs.ch/de/web/coronavirus,48,29,,
