date,time,abbreviation_canton_and_fl,ncumul_tested,ncumul_conf,new_hosp,current_hosp,current_icu,current_vent,ncumul_released,ncumul_deceased,source,current_isolated,current_quarantined,current_quarantined_riskareatravel,current_quarantined_total
2020-03-06,12:00,SO,,1,,,,,,,https://so.ch/startseite/aktuell/news/erster-laborbestaetigter-covid-19-fall-im-kanton-solothurn/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=3074bbdc8f0fcdcb9f1e11a21fc05e73,,,,
2020-03-20,17:37,SO,,66,,,,,,,https://twitter.com/KantonSolothurn/status/1241041303024041989?p=p,,,,
2020-03-23,12:00,SO,,95,,,,,,1,https://corona.so.ch/,,,,
2020-03-24,00:00,SO,,104,,,,,,1,https://corona.so.ch/,,,,
2020-03-25,00:00,SO,,129,,,,,,1,https://corona.so.ch/,,,,
2020-03-26,00:00,SO,,141,,,,,,1,https://corona.so.ch/,,,,
2020-03-27,00:00,SO,,157,,,,,,1,https://corona.so.ch/,,,,
2020-03-28,00:00,SO,,173,,,,,,1,https://corona.so.ch/,,,,
2020-03-29,00:00,SO,,190,,,,,,2,https://corona.so.ch/,,,,
2020-03-31,00:00,SO,,196,,,,,,2,https://corona.so.ch/index.php?id=27979,,,,
2020-04-01,00:00,SO,,216,,,,,,3,https://corona.so.ch/index.php?id=27979,,,,
2020-04-02,00:00,SO,,227,,14,,,,3,https://corona.so.ch/index.php?id=27979,,,,
2020-04-03,00:00,SO,,237,,17,,,,3,https://corona.so.ch/index.php?id=27979,,,,
2020-04-04,00:00,SO,,250,,,,,,3,https://corona.so.ch/index.php?id=27979,,,,
2020-04-05,00:00,SO,,258,,16,,,,3,https://corona.so.ch/index.php?id=27979,,,,
2020-04-06,00:00,SO,,261,,26,,,,3,https://corona.so.ch/index.php?id=27979,,,,
2020-04-07,00:00,SO,,264,,29,,,,3,https://corona.so.ch/index.php?id=27979,,,,
2020-04-08,00:00,SO,,276,,22,,,,3,https://corona.so.ch/index.php?id=27979,,,,
2020-04-09,00:00,SO,,282,,23,,,,5,https://corona.so.ch/index.php?id=27979,,,,
2020-04-10,00:00,SO,,294,,22,,,,5,https://corona.so.ch/index.php?id=27979,,,,
2020-04-11,00:00,SO,,306,,,,,,6,https://corona.so.ch/index.php?id=27979,,,,
2020-04-12,00:00,SO,,315,,23,,,,7,https://corona.so.ch/index.php?id=27979,,,,
