date,time,abbreviation_canton_and_fl,ncumul_tested,ncumul_conf,ncumul_hosp,ncumul_ICU,ncumul_vent,ncumul_released,ncumul_deceased,source,current_quarantined_total
2020-02-28,,VS,,1,8,0,0,0,0,https://www.vs.ch/de/web/coronavirus,
2020-02-29,,VS,,1,8,0,0,0,0,https://www.vs.ch/de/web/coronavirus,
2020-03-01,,VS,,2,9,0,0,0,0,https://www.vs.ch/de/web/coronavirus,
2020-03-02,,VS,,4,12,0,0,0,0,https://www.vs.ch/de/web/coronavirus,
2020-03-03,,VS,,4,14,0,0,0,0,https://www.vs.ch/de/web/coronavirus,
2020-03-04,,VS,,5,15,0,0,0,0,https://www.vs.ch/de/web/coronavirus,
2020-03-05,,VS,,6,13,0,0,2,0,https://www.vs.ch/de/web/coronavirus,
2020-03-06,,VS,,6,14,0,0,2,0,https://www.vs.ch/de/web/coronavirus,
2020-03-07,,VS,,7,14,0,0,2,0,https://www.vs.ch/de/web/coronavirus,
2020-03-08,,VS,,14,18,1,1,2,0,https://www.vs.ch/de/web/coronavirus,
2020-03-09,,VS,,18,19,1,1,2,0,https://www.vs.ch/de/web/coronavirus,
2020-03-10,,VS,,23,22,1,1,2,0,https://www.vs.ch/de/web/coronavirus,
2020-03-11,,VS,,30,23,1,1,3,0,https://www.vs.ch/de/web/coronavirus,
2020-03-12,,VS,,56,30,1,1,3,0,https://www.vs.ch/de/web/coronavirus,
2020-03-13,,VS,,72,32,1,1,5,1,https://www.vs.ch/de/web/coronavirus,
2020-03-14,,VS,,93,35,1,1,6,1,https://www.vs.ch/de/web/coronavirus,
2020-03-15,,VS,,105,37,1,1,6,3,https://www.vs.ch/de/web/coronavirus,
2020-03-16,,VS,,164,43,2,1,8,4,https://www.vs.ch/de/web/coronavirus,
2020-03-17,,VS,,218,48,2,2,11,4,https://www.vs.ch/de/web/coronavirus,
2020-03-18,,VS,,301,60,2,2,11,4,https://www.vs.ch/de/web/coronavirus,
2020-03-19,,VS,,338,65,5,5,12,6,https://www.vs.ch/de/web/coronavirus,
2020-03-20,,VS,,433,74,6,5,15,6,https://www.vs.ch/de/web/coronavirus,
2020-03-21,,VS,,485,85,8,6,17,8,https://www.vs.ch/de/web/coronavirus,
2020-03-22,,VS,,523,94,11,7,19,8,https://www.vs.ch/de/web/coronavirus,
2020-03-23,,VS,,621,106,12,9,24,10,https://www.vs.ch/de/web/coronavirus,
2020-03-24,,VS,,722,119,13,12,25,11,https://www.vs.ch/de/web/coronavirus,
2020-03-25,,VS,,791,120,15,14,35,12,https://www.vs.ch/de/web/coronavirus,
2020-03-26,,VS,,868,131,19,17,41,13,https://www.vs.ch/de/web/coronavirus,
2020-03-27,,VS,,960,140,20,16,50,16,https://www.vs.ch/de/web/coronavirus,
2020-03-28,,VS,,1007,145,21,19,53,20,https://www.vs.ch/de/web/coronavirus,
2020-03-29,,VS,,1041,155,22,21,54,26,https://www.vs.ch/de/web/coronavirus,
2020-03-30,,VS,,1125,156,25,23,71,30,https://www.vs.ch/de/web/coronavirus,
2020-03-31,,VS,,1192,155,24,23,81,31,https://www.vs.ch/de/web/coronavirus,
2020-04-01,,VS,,1261,149,26,25,96,34,https://www.vs.ch/de/web/coronavirus,
2020-04-02,,VS,,1308,149,28,24,104,38,https://www.vs.ch/de/web/coronavirus,
2020-04-03,,VS,,1359,149,26,23,109,43,https://www.vs.ch/de/web/coronavirus,
2020-04-04,,VS,,1392,152,28,23,112,46,https://www.vs.ch/de/web/coronavirus,
2020-04-05,,VS,,1407,148,26,23,115,51,https://www.vs.ch/de/web/coronavirus,
2020-04-06,,VS,,1475,135,26,22,134,53,https://www.vs.ch/de/web/coronavirus,
2020-04-07,,VS,,1513,131,25,20,143,61,https://www.vs.ch/de/web/coronavirus,
2020-04-08,,VS,,1550,124,26,20,152,66,https://www.vs.ch/de/web/coronavirus,
2020-04-09,,VS,,1577,119,24,19,160,69,https://www.vs.ch/de/web/coronavirus,
2020-04-10,,VS,,1609,117,24,18,166,76,https://www.vs.ch/de/web/coronavirus,
2020-04-11,,VS,,1633,114,20,15,169,78,https://www.vs.ch/de/web/coronavirus,
2020-04-12,,VS,,1646,112,22,14,173,82,https://www.vs.ch/de/web/coronavirus,
2020-04-13,,VS,,1660,108,21,12,176,83,https://www.vs.ch/de/web/coronavirus,
2020-04-14,,VS,,1689,101,20,11,187,83,https://www.vs.ch/de/web/coronavirus,
2020-04-15,,VS,,1702,95,20,12,195,84,https://www.vs.ch/de/web/coronavirus,
2020-04-16,,VS,,1719,93,17,12,198,85,https://www.vs.ch/de/web/coronavirus,
2020-04-17,,VS,,1736,86,16,10,204,88,https://www.vs.ch/de/web/coronavirus,
2020-04-18,,VS,,1745,85,18,10,204,93,https://www.vs.ch/de/web/coronavirus,
2020-04-19,,VS,,1754,83,16,9,205,97,https://www.vs.ch/de/web/coronavirus,
2020-04-20,,VS,,1773,79,15,9,211,100,https://www.vs.ch/de/web/coronavirus,
2020-04-21,,VS,,1781,75,14,10,213,104,https://www.vs.ch/de/web/coronavirus,
2020-04-22,,VS,,1789,76,13,10,216,107,https://www.vs.ch/de/web/coronavirus,
2020-04-23,,VS,,1804,72,13,9,219,112,https://www.vs.ch/de/web/coronavirus,
2020-04-24,,VS,,1813,69,14,9,223,116,https://www.vs.ch/de/web/coronavirus,
2020-04-25,,VS,,1818,71,14,9,224,119,https://www.vs.ch/de/web/coronavirus,
2020-04-26,,VS,,1820,73,15,8,224,119,https://www.vs.ch/de/web/coronavirus,
2020-04-27,,VS,,1838,64,14,9,232,120,https://www.vs.ch/de/web/coronavirus,
